REFERENCE,NIVEAUETUDE
LX10,Bac
GK11,Bac + 5 et plus
UC12,Bac + 4
ZD13,Lycée Incomplet
SD14,Bac + 5 et plus
EW15,Secondaire Complet ( brevet des collèges )
VB16,Bac
BT17,Bac + 3
JR18,Bac
UI19,Bac + 5 et plus
XF20,Bac + 4
DF22,non renseigné
YR23,Certificat d'études
GC24,Certificat d'études
LF25,Secondaire Incomplet
OW26,Bac
 commerçants et chefs d'entreprise,Bac + 2
QF28,Bac + 5 et plus
WC29,Lycée Incomplet
FJ30,Certificat d'études
NX31,Bac + 2
FE32,Bac + 3
 commerçants et chefs d'entreprise,Bac
LC34,Bac + 2
FH35,Certificat d'études
PE36,Bac + 5 et plus
 commerçants et chefs d'entreprise,Bac + 1
AJ38,Secondaire Complet ( brevet des collèges )
RA39,Bac + 5 et plus
 commerçants et chefs d'entreprise,Bac + 1
BC41,non renseigné
PM42,Bac + 2
AN43,Bac + 5 et plus
DE44,Bac + 2
PT45,Certificat d'études
WZ46,Primaire
LD47,Bac + 2
YK48,Bac + 2
AU49,Bac + 1
CM50,Bac
 commerçants et chefs d'entreprise,Bac
YQ52,Primaire
PY53,Bac + 2
 commerçants et chefs d'entreprise,Bac + 2
TQ55,Secondaire Complet ( brevet des collèges )
TJ56,Bac + 5 et plus
UZ57,Lycée Incomplet
BI58,Bac + 5 et plus
MC59,Bac
YI60,Bac + 2
AJ61,Bac + 3
JP62,Bac
NH63,Bac
ZT64,Bac + 3
RK65,Bac + 2
MX66,Certificat d'études
CL67,Bac + 3
AG68,Bac + 4
ch_AC7,Bac + 5 et plus
ch_BH8,Bac + 5 et plus
ch_CD2,non renseigné
ch_GB9,Bac + 5 et plus
ch_GC4,non renseigné
ch_LA11,non renseigné
ch_MP10,Bac + 5 et plus
ch_NS3,Bac + 5 et plus
ch_OB1,Bac + 5 et plus
ch_PP6,Bac + 5 et plus
WB712,
VD703,Bac + 3
HX782,Bac + 3
GH095,
FC824,
75LOC,
XV383,Bac + 2
73LOC,Bac + 5 et plus
NR390,Bac + 5 et plus
GG314,
CX348,Bac + 5 et plus
